name,id,mass,fall,year,latitude,longitude,class_cat
Northwest Africa 5940,50826,151,Found,2009,0.0,0.0,Stony Meteorites - Chondrites
Magura,15388,150,Found,1840,49.33333,19.48333,Iron Meteorites - Category I
Jalu,12070,150,Found,2000,27.95833,21.68333,Stony Meteorites - Chondrites
McKinney,15463,150,Found,1870,33.18333,-96.71667,Stony Meteorites - Chondrites
Yardymly,30352,150,Fell,1959,38.93333,48.25,Iron Meteorites - Category I
Wiluna,24281,150,Fell,1967,-26.59278,120.32833,Stony Meteorites - Chondrites
Weston,24249,150,Fell,1807,41.266667,-73.266667,Stony Meteorites - Chondrites
Mbale,15455,150,Fell,1992,1.06667,34.16667,Stony Meteorites - Chondrites
Olivenza,18013,150,Fell,1924,38.71667,-7.06667,Stony Meteorites - Chondrites
Tres Castillos,24047,150,Found,1992,29.47,-105.8,Iron Meteorites - Category U (Uncategorized)
Montferré,16727,149,Fell,1923,43.39056,1.9625,Stony Meteorites - Chondrites
Glorieta Mountain,10935,148,Found,1884,35.6,-105.8,Stony-Iron Meteorites - Pallasites
Orange River (iron),18023,148,Found,1855,-30.0,25.0,Iron Meteorites - Category I
Gilgoin,10915,147,Found,1889,-30.38333,147.2,Stony Meteorites - Chondrites
Wichita County,24257,145,Found,1836,34.06667,-98.91667,Iron Meteorites - Category I
Molina,16715,144,Fell,1858,38.11667,-1.16667,Stony Meteorites - Chondrites
El Sampal,7817,142,Found,1973,-44.53333,-70.36667,Iron Meteorites - Category I
Keyes,12287,142,Found,1939,36.71667,-102.5,Stony Meteorites - Chondrites
Tambo Quemado,23797,141,Found,1950,-14.66667,-74.5,Iron Meteorites - Category I
Selma,23486,140,Found,1906,32.4,-87.0,Stony Meteorites - Chondrites
Korra Korrabes,12347,140,Found,1996,-25.2,18.08333,Stony Meteorites - Chondrites
Ysleta,30375,140,Found,1914,31.65,-106.18333,Iron Meteorites - Category U (Uncategorized)
Huizopa,11985,140,Found,1907,28.9,-108.56667,Iron Meteorites - Category IV
Ider,11999,140,Found,1957,34.68333,-85.65,Iron Meteorites - Category I
Brainard,5131,138,Found,1978,41.15333,-96.955,Iron Meteorites - Category I
Derrick Peak A78009,6685,138,Found,1978,-80.06667,156.38333,Iron Meteorites - Category I
Babb's Mill (Blake's Iron),4915,136,Found,1876,36.3,-82.88333,Iron Meteorites - Category U (Uncategorized)
Cape of Good Hope,5261,136,Found,1793,-33.5,26.0,Iron Meteorites - Category IV
Kesen,12286,135,Fell,1850,38.98333,141.61667,Stony Meteorites - Chondrites
Colomera,5404,134,Found,1912,37.43333,-3.65,Iron Meteorites - Category II
Carnegie,5278,132,Found,1963,35.16667,-98.64389,Stony Meteorites - Chondrites
Yenberrie,30361,132,Found,1918,-14.25,132.01667,Iron Meteorites - Category I
Araslanovo,2324,132,Found,1973,55.14167,48.2,Stony Meteorites - Chondrites
Dong Ujimqin Qi,7706,128,Fell,1995,45.5,119.03333,Stony-Iron Meteorites - Mesosiderites
Ozona,18066,127,Found,1929,30.73333,-101.3,Stony Meteorites - Chondrites
Carthage,5282,127,Found,1840,36.26667,-85.98333,Iron Meteorites - Category I
Chebankol,5335,127,Found,1938,53.66667,88.0,Iron Meteorites - Category I
Ensisheim,10039,127,Fell,1491,47.86667,7.35,Stony Meteorites - Chondrites
Dhofar 005,6704,125,Found,2000,18.16667,54.16667,Stony Meteorites - Chondrites
Jiddat al Harasis 091,12150,123,Found,2002,19.69362,56.65432,Stony Meteorites - Chondrites
Bur-Gheluai,5169,120,Fell,1919,5.0,48.0,Stony Meteorites - Chondrites
Santiago Papasquiero,23169,119,Found,1958,24.5,-106.0,Iron Meteorites - Category U (Uncategorized)
Scurry,23468,118,Found,1937,32.5,-101.0,Stony Meteorites - Chondrites
Bencubbin,5014,118,Found,1930,-30.75,117.78333,Stony Meteorites - Achondrites
Duketon,7740,118,Found,1948,-27.5,122.36667,Iron Meteorites - Category I
Youanmi,30373,118,Found,1917,-29.5,118.75,Iron Meteorites - Category I
Para de Minas,18099,116,Found,1934,-19.86667,-44.61667,Iron Meteorites - Category IV
Cleveland,5379,115,Found,1860,34.88333,-84.78333,Iron Meteorites - Category I
Northwest Africa 6947,54510,115,Found,2011,0.0,0.0,Stony Meteorites - Chondrites
Tafassasset,23779,114,Found,2000,20.76333,10.44167,Stony Meteorites - Achondrites
Caperr,5263,113,Found,1869,-45.28333,-70.48333,Iron Meteorites - Category I
Buenaventura,5162,113,Found,1969,29.8,-107.55,Iron Meteorites - Category I
Gundaring,11452,112,Found,1937,-33.3,117.66667,Iron Meteorites - Category I
Oakley (iron),17972,111,Found,1926,42.33333,-113.7,Other Categories
Lewis Cliff 85320,12790,110,Found,1985,-84.26223,161.41628,Stony Meteorites - Chondrites
Sulagiri,48951,110,Fell,2008,12.66667,78.03333,Stony Meteorites - Chondrites
Etosha,10061,110,Found,1970,-18.5,16.0,Other Categories
Florey,10112,110,Found,1978,32.5225,-102.705,Stony Meteorites - Chondrites
Mount Tazerzait,16804,110,Fell,1991,18.7,4.8,Stony Meteorites - Chondrites
Lenarto,12763,108,Found,1814,49.0,21.0,Iron Meteorites - Category I
Elbogen,7823,107,Fell,1399,50.18333,12.73333,Iron Meteorites - Category II
Zhovtnevyi,30407,107,Fell,1938,47.58333,37.25,Stony Meteorites - Chondrites
Abee,6,107,Fell,1952,54.21667,-113.0,Stony Meteorites - Chondrites
Tiberrhamine,23985,107,Found,1967,28.11667,0.53333,Stony Meteorites - Chondrites
Cook 001,5421,105,Found,1989,-30.33333,130.53333,Stony Meteorites - Chondrites
Faith,10071,105,Found,1952,45.33333,-102.08333,Stony Meteorites - Chondrites
Chico,5346,104,Found,1954,36.5,-104.2,Stony Meteorites - Chondrites
Molong,16716,104,Found,1912,-33.28333,148.88333,Stony-Iron Meteorites - Pallasites
Colby (Wisconsin),5395,104,Fell,1917,44.9,-90.28333,Stony Meteorites - Chondrites
Juncal,12211,104,Found,1866,-26.0,-69.25,Iron Meteorites - Category I
Udei Station,24101,103,Fell,1927,7.95,8.08333,Iron Meteorites - Category I
Seeläsgen,23474,102,Found,1847,52.26667,15.55,Iron Meteorites - Category I
Rifle,22605,102,Found,1948,38.51667,-107.83333,Iron Meteorites - Category I
Sevrukovo,23509,101,Fell,1874,50.61667,36.6,Stony Meteorites - Chondrites
Murchison,16875,100,Fell,1969,-36.61667,145.2,Stony Meteorites - Achondrites
Retuerta del Bullaque,56577,100,Found,1980,39.45889,-4.3775,Iron Meteorites - Category I
Cook 007,5427,100,Found,1989,-30.61667,130.41667,Stony Meteorites - Chondrites
Northwest Africa 4502,45481,100,Found,2005,0.0,0.0,Stony Meteorites - Achondrites
Paranaiba,18103,100,Fell,1956,-19.13333,-51.66667,Stony Meteorites - Chondrites
Anyujskij,2312,100,Found,1981,66.9,164.2,Iron Meteorites - Category I
Franconia,10174,100,Found,2002,34.71637,-114.22197,Stony Meteorites - Chondrites
Lutschaunig's Stone,14762,100,Found,1861,-27.0,-70.0,Stony Meteorites - Chondrites
Faucett,10077,100,Found,1966,39.61667,-94.86667,Stony Meteorites - Chondrites
Zhongxiang,30406,100,Found,1981,31.2,112.5,Other Categories
Chelyabinsk,57165,100,Fell,2013,54.81667,61.11667,Stony Meteorites - Chondrites
Chergach ,47347,100,Fell,2007,23.69639,-5.01472,Stony Meteorites - Chondrites
Kidairat,12300,100,Fell,1983,14.0,28.0,Stony Meteorites - Chondrites
Dimitrovgrad,7644,100,Found,1949,43.04639,22.86389,Iron Meteorites - Category I
Bou Azarif,53812,100,Found,2010,31.15643,-5.15262,Stony Meteorites - Chondrites
Pierceville (iron),18819,100,Found,1917,37.86667,-100.66667,Iron Meteorites - Category I
Juancheng,12203,100,Fell,1997,35.5,115.41667,Stony Meteorites - Chondrites
Budulan,5161,100,Found,1962,50.56667,114.9,Stony-Iron Meteorites - Mesosiderites
Agoudal,57354,100,Found,2000,31.98457,-5.51528,Iron Meteorites - Category I
Tamdakht,48691,100,Fell,2008,31.16333,-7.015,Stony Meteorites - Chondrites
Gujba,11449,100,Fell,1984,11.49167,11.65833,Stony Meteorites - Achondrites
Social Circle,23659,99,Found,1927,33.7,-83.7,Iron Meteorites - Category IV
Steinbach,23722,98,Found,1724,50.5,12.5,Iron Meteorites - Category IV
Palmas de Monte Alto,48959,97,Found,1954,-14.3675,-43.02278,Iron Meteorites - Category I
Dar al Gani 749,6296,95,Found,1999,27.30167,15.7645,Stony Meteorites - Achondrites
Zavid,30396,95,Fell,1897,44.4,19.11667,Stony Meteorites - Chondrites
Weekeroo Station,24230,94,Found,1924,-32.26667,139.86667,Iron Meteorites - Category II
Loreto,14705,94,Found,1896,26.01667,-111.36667,Iron Meteorites - Category I
Carver,5284,94,Found,1935,32.0,-86.0,Iron Meteorites - Category I
Concho,5417,93,Found,1939,32.0,-101.5,Stony Meteorites - Chondrites
Machinga,15371,93,Fell,1981,-15.21222,35.24222,Stony Meteorites - Chondrites
Watson 001,24221,93,Found,1972,-30.5,131.55,Iron Meteorites - Category II
Jiddat al Harasis 090,12149,92,Found,2002,19.71678,56.6062,Stony Meteorites - Chondrites
Karee Kloof,12259,92,Found,1914,-31.6,25.8,Iron Meteorites - Category I
Laguna Manantiales,12413,92,Found,1945,-48.58333,-67.41667,Other Categories
Juvinas,12214,91,Fell,1821,44.71667,4.3,Stony Meteorites - Achondrites
Richardton,22599,90,Fell,1918,46.88333,-102.31667,Stony Meteorites - Chondrites
ad-Dahbubah,376,90,Found,1961,19.83333,51.25,Stony Meteorites - Chondrites
Bennett County,5022,89,Found,1934,43.5,-101.25,Iron Meteorites - Category I
Mincy,16694,89,Found,1857,36.55,-93.1,Stony-Iron Meteorites - Mesosiderites
Farmington,10074,89,Fell,1890,39.75,-97.03333,Stony Meteorites - Chondrites
San Angelo,23117,88,Found,1897,31.41667,-100.35,Iron Meteorites - Category I
Northwest Africa 6727,53763,88,Found,2006,0.0,0.0,Stony Meteorites - Chondrites
Mills,16687,88,Found,1970,36.23,-104.11889,Stony Meteorites - Chondrites
Wagon Mound,24196,87,Found,1932,35.84083,-104.58583,Stony Meteorites - Chondrites
Roebourne,22644,86,Found,1892,-22.33333,118.0,Iron Meteorites - Category I
Tulia (a),24066,86,Found,1917,34.61667,-101.95,Stony Meteorites - Chondrites
Bath Furnace,4975,86,Fell,1902,38.25,-83.75,Stony Meteorites - Chondrites
Kayakent,12268,85,Fell,1961,39.26333,31.78,Iron Meteorites - Category I
Juanita de Angeles,12204,85,Found,1992,28.41667,-105.08333,Stony Meteorites - Chondrites
Zapaliname,30392,85,Found,1998,25.00944,-100.75,Iron Meteorites - Category I
Apoala,2317,85,Found,1889,17.7,-97.0,Iron Meteorites - Category I
Bruceville,5155,83,Found,1998,38.295,-121.405,Stony Meteorites - Chondrites
Gan Gan,10852,83,Found,1984,-42.66667,-68.08333,Iron Meteorites - Category IV
Ness County (1894),16946,82,Found,1894,38.5,-99.6,Stony Meteorites - Chondrites
Gretna,11201,82,Found,1912,39.93333,-99.21667,Stony Meteorites - Chondrites
Carlton,5277,81,Found,1887,31.91667,-98.03333,Iron Meteorites - Category I
Renfrow,22588,81,Found,1986,36.98667,-97.555,Stony Meteorites - Chondrites
Soko-Banja,23661,80,Fell,1877,43.66667,21.86667,Stony Meteorites - Chondrites
Kernouve,12284,80,Fell,1869,48.11667,-3.08333,Stony Meteorites - Chondrites
Baygorria,4980,80,Found,1994,-33.0,-56.0,Iron Meteorites - Category I
Unter-Mässing,24124,80,Found,1920,49.09028,11.33333,Iron Meteorites - Category II
Vera,24161,80,Found,1941,-29.91667,-60.28333,Stony Meteorites - Chondrites
Ainsworth,422,80,Found,1907,42.6,-99.8,Iron Meteorites - Category I
